Crop,Variety,State,Duration in days,Cost,Quantity,Predicted_Production
Pearl Millet,86M64 (MSH 203) (Hybrid), Gujarat,83,33198.94975,92.14,293.8767123
Pearl Millet,86M64 (MSH 203) (Hybrid), Maharashtra,83,33198.94975,92.14,293.8767123
Pearl Millet,86M64 (MSH 203) (Hybrid), Tamil Nadu,83,33198.94975,92.14,293.8767123
Pearl Millet,MH 1540 (86M64) (Hybrid),Andhra Pradesh,82,33198.94975,92.14,293.8767123
Pearl Millet,MH 1540 (86M64) (Hybrid), Karnataka,82,33198.94975,92.14,293.8767123
Pearl Millet,MH 1540 (86M64) (Hybrid), Tamil Nadu,82,33198.94975,92.14,293.8767123
Pearl Millet,MH 1540 (86M64) (Hybrid), Maharashtra,82,33198.94975,92.14,293.8767123
Pearl Millet,MH 1541 (86M53) (Hybrid),Andhra Pradesh,79,33198.94975,92.14,293.8767123
Pearl Millet,MH 1541 (86M53) (Hybrid), Karnataka,79,33198.94975,92.14,293.8767123
Pearl Millet,MH 1541 (86M53) (Hybrid), Tamil Nadu,79,33198.94975,92.14,293.8767123
Pearl Millet,MH 1541 (86M53) (Hybrid), Maharashtra,79,33198.94975,92.14,293.8767123
Pearl Millet,RHB 177 (MH 1486),Rajasthan,81,33198.94975,92.14,293.8767123
Pearl Millet,RHB 177 (MH 1486), Haryana,81,33198.94975,92.14,293.8767123
Pearl Millet,RHB 177 (MH 1486), Gujarat,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479),Rajasthan,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479), Gujarat,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479), Haryana,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479), Uttar Pradesh,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479), Punjab,81,33198.94975,92.14,293.8767123
Pearl Millet,HHB 226 (MH 1479), Madhya Pradesh,81,33198.94975,92.14,293.8767123
Finger Millet,GPU 67,Chhattisgarh,119,33198.94975,66.46,148.9709589
Finger Millet,GPU 67, Jharkhand,119,33198.94975,66.46,148.9709589
Finger Millet,GPU 67, Karnataka,119,33198.94975,66.46,148.9709589
Finger Millet,GPU 67, Maharashtra,119,33198.94975,66.46,148.9709589
Finger Millet,GPU 67, Tamil Nadu,119,33198.94975,66.46,148.9709589
Finger Millet,GPU 67, Uttarakhand,119,33198.94975,66.46,148.9709589
Indian Mustard,DRMR 601 (NRCDR 601),Rajasthan,144,19259.84,99,270.2054795
Indian Mustard,DRMR 601 (NRCDR 601), Haryana,144,21735.185,99,270.2054795
Indian Mustard,DRMR 601 (NRCDR 601), Punjab,144,21735.185,99,270.2054795
Indian Mustard,DRMR 601 (NRCDR 601), Delhi,144,21735.185,99,270.2054795
Indian Mustard,DRMR 601 (NRCDR 601), Jammu And Kashmir,144,21735.185,99,270.2054795
